current_count,date,time
4,2020-12-21,13:00:00
3,2020-12-21,13:30:00
3,2020-12-21,14:00:00
3,2020-12-21,14:30:00
3,2020-12-21,15:00:00
4,2020-12-21,15:30:00
3,2020-12-21,16:00:00
2,2020-12-21,16:30:00
2,2020-12-21,17:00:00
2,2020-12-21,17:30:00
3,2020-12-21,18:00:00
3,2020-12-21,18:30:00
3,2020-12-21,19:00:00
3,2020-12-21,19:30:00
3,2020-12-21,20:00:00
4,2020-12-21,20:30:00
5,2020-12-21,21:00:00
6,2020-12-21,21:30:00
6,2020-12-21,22:00:00
6,2020-12-21,22:30:00
6,2020-12-21,23:00:00
7,2020-12-21,23:30:00
6,2020-12-22,00:00:00
6,2020-12-22,00:30:00
7,2020-12-22,01:00:00
7,2020-12-22,01:30:00
7,2020-12-22,02:00:00
8,2020-12-22,02:30:00
7,2020-12-22,03:00:00
6,2020-12-22,03:30:00
6,2020-12-22,04:00:00
6,2020-12-22,04:30:00
5,2020-12-22,05:00:00
5,2020-12-22,05:30:00
5,2020-12-22,06:00:00
5,2020-12-22,06:30:00
4,2020-12-22,07:00:00
3,2020-12-22,07:30:00
3,2020-12-22,08:00:00
4,2020-12-22,08:30:00
3,2020-12-22,09:00:00
4,2020-12-22,09:30:00
4,2020-12-22,10:00:00
3,2020-12-22,10:30:00
3,2020-12-22,11:00:00
2,2020-12-22,11:30:00
3,2020-12-22,12:00:00
3,2020-12-22,12:30:00
3,2020-12-22,13:00:00
4,2020-12-22,13:30:00
4,2020-12-22,14:00:00
3,2020-12-22,14:30:00
4,2020-12-22,15:00:00
5,2020-12-22,15:30:00
6,2020-12-22,16:00:00
7,2020-12-22,16:30:00
6,2020-12-22,17:00:00
5,2020-12-22,17:30:00
4,2020-12-22,18:00:00
4,2020-12-22,18:30:00
4,2020-12-22,19:00:00
4,2020-12-22,19:30:00
4,2020-12-22,20:00:00
4,2020-12-22,20:30:00
4,2020-12-22,21:00:00
5,2020-12-22,21:30:00
5,2020-12-22,22:00:00
6,2020-12-22,22:30:00
7,2020-12-22,23:00:00
7,2020-12-22,23:30:00
8,2020-12-23,00:00:00
7,2020-12-23,00:30:00
8,2020-12-23,01:00:00
9,2020-12-23,01:30:00
10,2020-12-23,02:00:00
11,2020-12-23,02:30:00
12,2020-12-23,03:00:00
12,2020-12-23,03:30:00
11,2020-12-23,04:00:00
12,2020-12-23,04:30:00
11,2020-12-23,05:00:00
11,2020-12-23,05:30:00
11,2020-12-23,06:00:00
12,2020-12-23,06:30:00
13,2020-12-23,07:00:00
13,2020-12-23,07:30:00
14,2020-12-23,08:00:00
14,2020-12-23,08:30:00
14,2020-12-23,09:00:00
14,2020-12-23,09:30:00
14,2020-12-23,10:00:00
13,2020-12-23,10:30:00
12,2020-12-23,11:00:00
12,2020-12-23,11:30:00
12,2020-12-23,12:00:00
12,2020-12-23,12:30:00
11,2020-12-23,13:00:00
10,2020-12-23,13:30:00
11,2020-12-23,14:00:00
12,2020-12-23,14:30:00
12,2020-12-23,15:00:00
12,2020-12-23,15:30:00
13,2020-12-23,16:00:00
12,2020-12-23,16:30:00
11,2020-12-23,17:00:00
12,2020-12-23,17:30:00
12,2020-12-23,18:00:00
12,2020-12-23,18:30:00
12,2020-12-23,19:00:00
13,2020-12-23,19:30:00
12,2020-12-23,20:00:00
12,2020-12-23,20:30:00
13,2020-12-23,21:00:00
12,2020-12-23,21:30:00
12,2020-12-23,22:00:00
12,2020-12-23,22:30:00
13,2020-12-23,23:00:00
12,2020-12-23,23:30:00
13,2020-12-24,00:00:00
13,2020-12-24,00:30:00
13,2020-12-24,01:00:00
14,2020-12-24,01:30:00
14,2020-12-24,02:00:00
14,2020-12-24,02:30:00
15,2020-12-24,03:00:00
16,2020-12-24,03:30:00
16,2020-12-24,04:00:00
17,2020-12-24,04:30:00
17,2020-12-24,05:00:00
17,2020-12-24,05:30:00
16,2020-12-24,06:00:00
17,2020-12-24,06:30:00
16,2020-12-24,07:00:00
17,2020-12-24,07:30:00
16,2020-12-24,08:00:00
17,2020-12-24,08:30:00
18,2020-12-24,09:00:00
18,2020-12-24,09:30:00
19,2020-12-24,10:00:00
19,2020-12-24,10:30:00
18,2020-12-24,11:00:00
19,2020-12-24,11:30:00
19,2020-12-24,12:00:00
18,2020-12-24,12:30:00
19,2020-12-24,13:00:00
18,2020-12-24,13:30:00
19,2020-12-24,14:00:00
18,2020-12-24,14:30:00
